BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,BreedName
Brussels Griffon,Brabancon Griffon,Toy,Companion,4,"Alert, Companionable, Inquisitive, Self-important, Sensitive, Watchful",no,,,,,,,,Brussels Griffon
Bull Terrier,American Pit Bull Terrier,Terrier,Terrier,28,"Active, Keen, Protective, Sweet-tempered, Trainable",yes,,,,,,,,Bull Terrier
Bullmastiff,Bull Mastiff,Working,Guardian,55,"Alert, Calm, Courageous, Devoted, Docile, Powerful, Loyal, Protective, Reliable",yes,,,,,,,,Bullmastiff
Cairn Terrier,Cairn,Terrier,Terrier,7,"Active, Assertive, Courageous, Fearless, Hardy, Intelligent",yes,,,,,,,,Cairn Terrier
Canaan Dog,,Herding,Sight,21,"Alert, Cautious, Devoted, Quick, Vigilant",no,,,,,,,,Canaan Dog
Cane Corso Mastiff,,Working,Guardian,47,"Cheerful, Courageous, Loyal, Quiet, Social",yes,,,,,,,,Cane Corso Mastiff
Carolina Dog,,,Sight,18,"Adaptable, Gentle, Loyal, Primitive, Reserved",no,,,,,,,,Carolina Dog
Catahoula Leopard Dog,,Herding,Herding,27,"Alert, Courageous, Energetic, Gentle, Independent, Intelligent, Loving, Loyal, Protective",yes,,,,,,,,Catahoula Leopard Dog
Cattle Dog,,Herding,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",yes,,,,,,,,Cattle Dog
Caucasian Sheepdog (Caucasian Ovtcharka),,Working,Guardian,63,"Alert, Calm, Dominant, Powerful, Quick,Strong",yes,,,,,,,,Caucasian Sheepdog (Caucasian Ovtcharka)
Cavalier King Charles Spaniel,,Toy,Companion,7,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Social",no,,,,,,,,Cavalier King Charles Spaniel
Chesapeake Bay Retriever,,Sporting,Gun,33,"Happy, Affectionate, Dominant, Intelligent, Protective, Quiet",no,,,,,,,,Chesapeake Bay Retriever
Chihuahua,,Toy,Companion,2,"Alert, Courageous, Devoted, Lively, Intelligent, Quick",no,,,,,,,,Chihuahua
Chinese Crested Dog,,Toy,Companion,4,"Affectionate, Alert, Happy, Lively, Playful, Sweet-tempered",no,,,,,,,,Chinese Crested Dog
Chinese Foo Dog,,Working,Northern,25,"Friendly, Devoted, Courageous",yes,,,,,,,,Chinese Foo Dog
Chinook,,Working,Northern,32,"Alert, Calm, Dignified, Friendly, Responsive",yes,,,,,,,,Chinook
Chocolate Labrador Retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",no,,,,,,,,Chocolate Labrador Retriever
