BreedName,Group1,Group2,WtKg,Country,Maintainence cost per month,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,Weather,hypoallergenic
English Springer Spaniel,Sporting,Gun,23 kg,not available in India,,"Affectionate, Alert, Cheerful, Energetic, Intelligent, Playful, Social",no,ranch,low,yes,meat rich,not independent,high,seasonal,warm,no
English Toy Spaniel,Toy,Companion,5 kg,not available in India,,"Affectionate, Gentle, Happy, Loving, Playful, Reserved",no,apartment ,moderate,no,not particular,not independent,medium,frequent,warm,no
Entlebucher,Herding,Guardian,27 kg,not available in India,,"Agile, Devoted, Independent, Loyal, Self confident",yes,ranch,high,yes,not particular,moderate,high,seasonal,cold,no
Feist,Terrier,Terrier,15 kg,not available in India,,"Agile, Alert, Lovable, Spirited, Swift",yes,independent house,moderate,yes,not particular,not independent,high,seasonal,hot,no
Field Spaniel,Sporting,Gun,19 kg,not available in India,,"Adaptable, Cautious, Docile, Familial, Sensitive, Sociable",no,ranch,low,yes,meat rich,not independent,high,seasonal,warm,no
Fila Brasileiro,Working,Guardian,46 kg,not available in India,,"Brave, Courageous, Determined, Docile, Loyal, Obedient",yes,ranch,high,no,meat rich,not independent,medium,seasonal,hot,no
Finnish Lapphund,Herding,Northern,18 kg,not available in India,,"Calm, Courageous, Faithful, Friendly, Keen",yes,apartment ,moderate,yes,meat rich,not independent,high,seasonal,cold,no
Finnish Spitz,Non Sporting,Northern,15 kg,not available in India,,"Happy, Independent, Intelligent, Loyal, Playful, Vocal",no,independent house,high,yes,meat rich,not independent,high,frequent,cold,no
Flat coated Retriever,Sporting,Gun,30 kg,not available in India,,"Friendly, Confident, Devoted, Optimistic, Outgoing, Intelligent",yes,ranch,high,yes,not particular,not independent,high,seasonal,warm,no
Fox Terrier,Terrier,Terrier,8 kg,India,3000 Rs - 4000 Rs,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",no,independent house,moderate,yes,not particular,moderate,high,low,warm,yes
Foxhound,Hound,Scenthound,32 kg,not available in India,,"Independent, Intelligent, Kind, Loving, Loyal, Sweet tempered",no,ranch,high,yes,meat rich,very independent,high,seasonal,warm,no
French Bulldog,Non Sporting,Companion,12 kg,India,3000 Rs - 4000 Rs,"Affectionate, Playful, Alert, Athletic, Bright, Easygoing, Keen, Lively, Patient",no,apartment ,moderate,yes,meat rich,not independent,medium,seasonal,warm,no
Gaddi,Herding,Guardian,45 kg,India,2000 Rs - 3000 Rs,"Intelligent, Gentle, Calm,Territorial",yes,ranch,high,no,meat rich,very independent,high,frequent,cold,no
Galgo Spanish Greyhound,Hound,Sight,25 kg,not available in India,,"Affectionate, Calm, Quiet, Gentle",no,ranch,high,no,meat rich,very independent,high,seasonal,hot,no
German Pinscher,Working,Terrier,14 kg,India,,"Even tempered, Familial, Courageous, Lively, Loving, Spirited",yes,independent house,moderate,no,meat rich,moderate,high,seasonal,warm,no
German Shepherd Dog,Herding,Herding,35 kg,India,4000 Rs - 5000 Rs,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",yes,independent house,high,yes,meat rich,not independent,high,frequent,cold,no
German Shorthaired Pointer,Working,Gun,29 kg,not available in India,,"Affectionate, Boisterous, Bold, Cooperative, Intelligent, Trainable",no,ranch,moderate,yes,meat rich,not independent,high,low,warm,no
German Spitz,Non Sporting,Northern,8 kg,not available in India,,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",yes,apartment ,high,yes,not particular,moderate,high,frequent,warm,no
German Wirehaired Pointer,Sporting,Gun,30 kg,not available in India,,"Active, Affectionate, Friendly, Intelligent, Loyal, Willful, Responsive",yes,ranch,moderate,no,not particular,not independent,high,low,warm,no
Giant Schnauzer,Working,Companion,38 kg,not available in India,,"Dominant, Intelligent, Kind, Loyal, Powerful, Strong willed",yes,ranch,high,no,meat rich,not independent,high,frequent,warm,yes
Glen of Imaal Terrier,Terrier,Terrier,16 kg,not available in India,,"Active, Agile, Courageous, Gentle, Loyal, Spirited",no,apartment ,high,yes,not particular,moderate,high,low,warm,no
Golden Retriever,Sporting,Gun,32 kg,India,4000 Rs - 5000 Rs,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",no,ranch,moderate,yes,not particular,not independent,high,frequent,warm,no
Gordon Setter,Sporting,Gun,31 kg,not available in India,,"Alert, Confident, Eager, Fearless, Loyal, Intelligent",yes,ranch,high,no,not particular,not independent,high,frequent,cold,no
Great Dane,Working,Guardian,77 kg,India,5000 Rs - 6000 Rs,"Friendly, Confident, Devoted, Intelligent, Gentle, Loving, Reserved",yes,ranch,high,yes,meat rich,not independent,high,frequent,hot,no
Great Pyrenees,Working,Guardian,45 kg,not available in India,,"Affectionate, Confident, Fearless, Gentle, Patient, Strong willed",yes,ranch,high,yes,meat rich,moderate,high,frequent,cold,no
Greater Swiss Mountain Dog,Working,Guardian,60 kg,not available in India,,"Alert, Devoted, Fearless, Good natured, Protective, Self confident",yes,ranch,high,yes,not particular,moderate,high,seasonal,cold,no
Greyhound,Hound,Sight,33 kg,not available in India,,"Intelligent, Gentle, Affectionate, Athletic, Even tempered, Quiet",no,apartment ,low,yes,not particular,not independent,high,frequent,warm,no
Gull Dong,Hunting,Guardian,35 kg,not available in India,,"Stubborn, Aggressive",yes,ranch,high,no,meat rich,very independent,high,low,hot,no
Harrier,Hound,Scenthound, 22 kg,not available in India,,"Active, Cheerful, Friendly, Outgoing, Sweet tempered, Tolerant",no,ranch,high,yes,not particular,moderate,high,seasonal,warm,no
Havanese,Toy,Companion,5 kg,India,4000 Rs - 5000 Rs,"Affectionate, Companionable, Gentle, Intelligent, Playful, Responsive",no,apartment ,low,yes,not particular,not independent,medium,low,warm,yes
Hovawart,Working,Guardian,38 kg,not available in India,,"Watchful, Even-tempered, Reserved, Active, Devoted",yes,ranch,low,yes,not particular,not independent,high,seasonal,warm,no
Husky,Working,Northern,24,India,5000 Rs - 7000 Rs,"Alert, Friendly, Gentle, Intelligent, Outgoing",no,ranch,high,yes,meat rich,not independent,high,frequent,cold,no
Ibizan Hound,Hound,Sight,22,not available in India,,"Active, Clownish, Engaging, Independent, Intelligent, Stubborn",no,apartment ,low,yes,not particular,not independent,high,seasonal,hot,no
Illyrian Sheepdog,Herding,Herding,40,not available in India,,"Independent, Reliable, Devoted, Protective",yes,ranch,high,yes,meat rich,very independent,high,frequent,cold,no
Indian Mastif,Hunting,Guardian,80,India,2000 Rs - 3000 Rs,"Protective, Dominant, Fearless, Obedient, Stubborn, Trainable",yes,ranch,high,yes,meat rich,very independent,high,frequent,hot,no
Indian Pariah Dog,Sporting,Companion,30,India,2000 Rs - 3000 Rs,"Protective, Calm, Energetic",no,apartment ,moderate,yes,not particular,very independent,high,low,hot,no
Indian Spitz,Terrier,Companion,15,India,2000 Rs - 3000 Rs,"Intelligent, Kind, Playful, Athletic",no,apartment ,moderate,yes,not particular,moderate,high,frequent,warm,no
Irish Setter,Sporting,Gun,32,not available in India,,"Affectionate, Companionable, Energetic, Independent, Lively, Playful, Intelligent",no,ranch,high,yes,meat rich,not independent,high,frequent,cold,no
Irish Terrier,Terrier,Terrier,12,not available in India,,"Dominant, Intelligent, Lively, Protective, Respectful, Trainable",yes,independent house,high,yes,not particular,not independent,high,frequent,warm,no
Irish Water Spaniel,Sporting,Gun,25,not available in India,,"Active, Alert, Clownish, Inquisitive, Intelligent, Quick",no,independent house,high,yes,not particular,moderate,high,low,warm,yes
Irish Wolfhound,Hound,Scenthound,55,not available in India,,"Dignified, Generous, Loyal, Patient, Sweet tempered, Thoughtful, Intelligent",no,ranch,low,yes,meat rich,not independent,low,seasonal,cold,no
Italian Greyhound,Toy,Companion,4,India,2000 Rs - 3000 Rs,"Affectionate, Agile, Athletic, Companionable, Intelligent, Mischevious",no,apartment ,moderate,yes,meat rich,not independent,high,low,warm,no
Italian Spinone,Sporting,Gun,33,not available in India,,"Friendly, Loyal, Affectionate, Docile, Gentle, Patient",no,apartment ,low,yes,not particular,not independent,high,seasonal,cold,no
Jack Russell Terrier,Terrier,Terrier,7,India,3000 Rs - 4000 Rs,"Alert, Cheerful, Courageous, Energetic, Independent",yes,independent house,high,yes,not particular,moderate,high,seasonal,warm,no
Japanese Chin,Toy,Companion,5,not available in India,,"Alert, Cat like, Independent, Intelligent, Loving, Loyal, Playful",no,apartment ,moderate,no,not particular,not independent,low,seasonal,warm,no
Jindo,Sporting,Northern,20,not available in India,,"Active, Bold, Brave, Faithful, Intelligent, Loyal",yes,independent house,high,no,meat rich,not independent,high,frequent,cold,no
Kai Dog,Non Sporting,Northern,18,not available in India,,"Intelligent, Agile, Alert, Brave",yes,independent house,moderate,no,not particular,not independent,high,frequent,cold,no
Kanni,Hunting,Guardian,20,India,2000 Rs - 3000 Rs,"Agile, Graceful, Protective",yes,ranch,high,yes,meat rich,very independent,high,low,hot,no
Karelian Bear Dog,Sporting,Northern,22,not available in India,,"Brave, Cautious, Loyal, Independent, Tenacious, Territorial",yes,ranch,high,no,meat rich,not independent,high,seasonal,cold,no
Keeshond,Non Sporting,Northern,18,not available in India,,"Agile, Bright, Obedient, Playful, Quick, Sturdy, Intelligent",yes,apartment ,high,yes,meat rich,not independent,high,frequent,cold,no
Kerry Blue Terrier,Terrier,Terrier,17,not available in India,,"Affectionate, Alert, Gentle, Loyal, Spirited, Strong willed, Intelligent",yes,independent house,high,yes,not particular,moderate,high,low,warm,yes
Kishu,Sporting,Northern,20,not available in India,,"Alert, Dignified, Docile, Faithful, Noble",yes,independent house,low,no,meat rich,moderate,medium,frequent,cold,no
